
Obra,,Obras Civis
Solicitante,,Miriam Ferreira J Dos Santos
Data da requisição,,2025-02-25
Data de necessidade,,2025-03-09
Comprador,,null

,,,,,Fornecedor 1,,,Fornecedor 2,,,Fornecedor 3,,,Fornecedor 4,,,Fornecedor 5,,,Envoltório dos mínimos,,,Fornecedor vencedor
Empresa,,,,,Top Master Import E Distribuiçao De Equipamentos Ltda - Epp,,,Top Master Import E Distribuiçao De Equipamentos Ltda - Epp,,,Plastolandia Hidraulica E Plasticos Industriais Lt,,,Ff Guarulhos,,,Plastolândia,,
CNPJ,,,,,09.269.781/0001-99,,,09.269.781/0001-99,,,43.235.522/0001-85,,,07.716.473/0001-39,,,null,,
Tel,,,,,12-21120282,,,12-21120282,,,(11) 21688533,,,11 +2453-6847,,,(11) 2168.8512,,
Cel,,,,,null,,,null,,,null,,,null,,,(11) 98391.2514,,
email,,,,,null,,,null,,,plastolandia@plastolandia.com.br,,,marcio@ffguarulhos.com.br,,,felipe@plastolandia.com.br,,
Contato,,,,,Padrão,,,Padrão,,,Felipe Dias Andrade,,,Marcio,,,Felipe Andrade,,

Item,ASTREIN,Descrição,qtd,und,R$ unit,R$ total,Semelhança,R$ unit,R$ total,Semelhança,R$ unit,R$ total,Semelhança,R$ unit,R$ total,Semelhança,R$ unit,R$ total,Semelhança,R$ unit,R$ total,,R$ unit,R$ total
,,"tubo pvc serie reforcada para esgoto; diametro nominal: 100 mm; comprimento: 6 m; unidade medida: metro linear; cor: branco; norma: nbr 5688, nbr 8160",480,MT,39.05,excel formula 1,71%,37.1,excel formula 1,57%,124.31,excel formula 1,43%,158.063,excel formula 1,71%,null,excel formula 1,null,excel formula 3,excel formula 1,,,
,,"tubo pvc serie reforcada para esgoto; diametro nominal: 150 mm; comprimento: 6 m; unidade medida: metro linear; cor: branco; norma: nbr 5688, nbr 8160",530,MT,75.94,excel formula 1,71%,72.15,excel formula 1,57%,256.88,excel formula 1,43%,318.82,excel formula 1,71%,null,excel formula 1,null,excel formula 3,excel formula 1,,,
,,"tubo pvc serie reforcada para esgoto; diametro nominal: 200 mm; comprimento: 6 m; unidade medida: metro linear; cor: branco; norma: nbr 5688, nbr 8160",48,MT,137.4,excel formula 1,71%,130.53,excel formula 1,57%,null,excel formula 1,29%,433.386,excel formula 1,43%,null,excel formula 1,null,excel formula 3,excel formula 1,,,
,,tubo esgoto; material: pvc; diametro nominal: 150 mm; cor: ocre; conexao: jei; norma: nbr 7362; fabricante: tigre,310,MT,65.86,excel formula 1,50%,null,excel formula 1,null,304.14,excel formula 1,63%,302.637,excel formula 1,63%,null,excel formula 1,null,excel formula 3,excel formula 1,,,
,,tubo esgoto; material: pvc; diametro nominal: 200 mm; cor: ocre; conexao: jei; norma: nbr 7362; fabricante: tigre,216,MT,112.26,excel formula 1,50%,null,excel formula 1,null,435.4,excel formula 1,63%,433.386,excel formula 1,63%,null,excel formula 1,null,excel formula 3,excel formula 1,,,
,,tubo esgoto; material: pvc; diametro nominal: 250 mm; cor: ocre; conexao: jei; norma: nbr 7362; fabricante: tigre,150,MT,196.81,excel formula 1,50%,null,excel formula 1,null,729.26,excel formula 1,63%,725.818,excel formula 1,63%,null,excel formula 1,null,excel formula 3,excel formula 1,,,
,,tubo esgoto; material: pvc; diametro nominal: 300 mm; cor: ocre; conexao: jei; norma: nbr 7362; fabricante: tigre,30,MT,312.28,excel formula 1,50%,null,excel formula 1,null,1118.43,excel formula 1,63%,1113.281,excel formula 1,63%,null,excel formula 1,null,excel formula 3,excel formula 1,,,
,,Total,,,,excel formula 2,,,excel formula 2,,,excel formula 2,,,excel formula 2,,,excel formula 2,,,excel formula 2,,,

Item,,Condições comerciais,,,,,,,,,,,,,,,,,
,,Condições de pagamento,,,A combinar,,,A combinar,,,28/56 ddl,,,28 ddl,,,50% a vista e 50% faturado,,
,,Data da proposta,,,05/03/2025,,,11/03/2025,,,null,,,null,,,null,,
,,Desconto,,,null,,,0.00,,,null,,,null,,,null,,
,,Frete,,,"0,00",,,Por conta do emitente (valor: 0.00),,,"R$ 0,00 (tipo: destinatário)",,,0.00,,,null,,
,,Observações,,,null,,,null,,,null,,,"Devido a variação do mercado os preços desta cotação são validos somente para materiais em estoque, consulte o vendedor antes de fechar o pedido.",,,null,,
,,Prazo de entrega,,,null,,,null,,,27/02/2025,,,Itens de estoque em até 2 dias para a grande são paulo após a confirmação do pedido.,,,null,,
,,Validade da proposta,,,null,,,null,,,28/02/2025,,,18/03/2025,,,null,,
,,Valor ipi,,,null,,,0.00,,,null,,,null,,,null,,
,,Valor total da proposta,,,null,,,null,,,"91.346,77",,,null,,,null,,

Quadro de sócios e administradores,,,,,,,,,,,,,,,,,,,
Este CNPJ tem sócio em comum com outro CNPJ ?,,,,,Sim,,,Sim,,,Não,,,Não,,,,,
,,,,,"Mind Business Consultoria Ltda, Sócio",,,"Mind Business Consultoria Ltda, Sócio",,,"Marcio Arruda Miotto, Sócio-administrador",,,"Sunrise Empreendimentos Imobiliarios E Participacoes Ltda, Sócio",,,null,,
,,,,,"Vinicius Jose Santos, Sócio-administrador",,,"Vinicius Jose Santos, Sócio-administrador",,,"Marcos Arruda Miotto, Sócio-administrador",,,"Fernanda Denicoli Pereira Crispim, Administrador",,,,,
,,,,,,,,,,,"Maria Hortencia Arruda Miotto, Administrador",,,,,,,,
,,,,,,,,,,,"Marina Arruda Miotto, Sócio-administrador",,,,,,,,

*******IGNORE ESTA PARTE DO RELATORIO (ela sera eventualmente consultada pelos desenvolvedores deste aplicativo para esclarecer duvidas sobre o comportamento da IA) ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Produto demandado 1,,,,,,,,,,,,,,,,,,,
Descricao do produto demandado na requisicao de compra,,,,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 100 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 100 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 100 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 100 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,,"Descrição: Tubo Pvc Serie Reforcada Para Esgoto; Diametro Nominal: 100 Mm; Comprimento: 6 M; Unidade Medida: Metro Linear; Cor: Branco; Norma: Nbr 5688, Nbr 8160",,
